2017-11-12 09:45:56.539 INFO  singlejartest.Main - Connecting...
2017-11-12 09:45:57.166 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - environment(jnlp.client.mode)=null, platformInstanceId=null
2017-11-12 09:45:57.176 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 request [3ACF84125D794763FAF6B1E049EAB23E0338CCFC]
2017-11-12 09:45:57.178 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&passus=1&sermo=92d02054-8bde-4655-9fac-6aabab3b928a&putent_genus=0&appello=3ACF84125D794763FAF6B1E049EAB23E0338CCFC&srp_versio=1]
2017-11-12 09:45:58.497 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"B":"556a9e0baefd6f8f9fb1b0e6af0624c3272659bd5b318c4337283c7f6071e1c50c35a203787d0154ef8e0b500937925d8453685731f51b65b4f3942a1e681b2fc62f128cb98613629eef53141149f302a9788c47fb8de6545d83b334564401fd171d1ab46504e8b064137a121b631d984adca0afb7bb89744c544c9036a95967663b23b627e97e426789710e7332d73d5a5adb9aa1df8233a1fc03c92801e582996793f6f04e18948ad36396db52ad94f8469575eda4c1b802dfcf9284771ecdf273911235235821fb1ac8231e88318a03fbb25c3d33de72c0e635c4da9c65c86e7693c7d3bc09951bf13a705c81777b0bfef4770c6a98e7f6a66f79fa9bfec8","S":"3b4b4462ed05c9c43cdd82d1bfa547fe","G":"2","H":"SHA-256","K":"5b9e8ef059c6b32ea59fc1d322d37f04aa30bae5aa9003b8321e21ddb04e300","N":"ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73","srp_versio":"1"}]
2017-11-12 09:45:58.498 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 response [ServerResponseObject [passwordServerResponse=Step1ServerResponse [serverPublicValueB=556a9e0baefd6f8f9fb1b0e6af0624c3272659bd5b318c4337283c7f6071e1c50c35a203787d0154ef8e0b500937925d8453685731f51b65b4f3942a1e681b2fc62f128cb98613629eef53141149f302a9788c47fb8de6545d83b334564401fd171d1ab46504e8b064137a121b631d984adca0afb7bb89744c544c9036a95967663b23b627e97e426789710e7332d73d5a5adb9aa1df8233a1fc03c92801e582996793f6f04e18948ad36396db52ad94f8469575eda4c1b802dfcf9284771ecdf273911235235821fb1ac8231e88318a03fbb25c3d33de72c0e635c4da9c65c86e7693c7d3bc09951bf13a705c81777b0bfef4770c6a98e7f6a66f79fa9bfec8, saltS=3b4b4462ed05c9c43cdd82d1bfa547fe, safePrimeN=ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73, correspondingGeneratorG=2, hashAlgorithmH=SHA-256, srpProtocolVersion=1], ]]
2017-11-12 09:45:58.554 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 request A [21001614608976160231721532071589173721401799121949249709754480416705242687624016163540930628883262262784128141428460537673139635028552192653054475951881045550943894414691954995733268386155609471014539628639935861304978452694416334875415109401972641073841179595596923295581703521698153681057496693342656743164134926651922556119384002018505706463614795006799779479668696692590710941545934479694928068200694665165940908630773252638934587697348660662662800181434433808786669050856065921981383951303009799445279843675943304292211036940002382947303612788292412629431798171527461265525949948117987038965838174184244146877911], M1 [49373607854704245102298067730402671451814990366398891661227873221479013895872]
2017-11-12 09:45:58.554 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&testimonium_nuntius=6d2878c35cec1aa7882aabc3fd270e8eb702d8368e25116f75fbd737cea94ec0&passus=2&publicus_pendo=a65d65bd5aa7768762e5dc17cbf31c1d847dd7891f06f4ac32444009ec462793d5d1a79b4018bd4abbeceb263aa7adfdbbe0f737350c9717b78c8ed1030ab8c9638122cb1f5f096061d2b2521de510a29e9da7a36720dcbc9ee29689a33c01f0de5360fef90f5de3ae9735ab8140f70c17a4f7519caa680e41efa73beab8a252a10ccd103631dfed36222ab369a8a016353c654a3eed1623cd4f3c5d017e70fa86dc22f9e407d9e98605e7dc021cab90041b9a76e9325164f34090f8355c7dcb500506bb1b472c34ed47a452d18a7f7fba38703ce184e2b393544eef048e041256a1be4b692351b1d30e69f6edd09d1a69bfbea35f3042ba3098d09b6e5035d7&sermo=92d02054-8bde-4655-9fac-6aabab3b928a&putent_genus=0&srp_versio=1]
2017-11-12 09:45:59.407 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"M2":"3c9992e7f9777cf8fd7795d48517c7f48a03678403bfa194745588be47f05bec","srp_versio":"1"}]
2017-11-12 09:45:59.408 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 response [ServerResponseObject [passwordServerResponse=Step2ServerResponse [serverEvidenceMessageM2=3c9992e7f9777cf8fd7795d48517c7f48a03678403bfa194745588be47f05bec, srpProtocolVersion=1], ]]
2017-11-12 09:45:59.409 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 3 request
